PLAYER_NAME,TEAM_ID,POSITION_NAME,POSITION_DISPLAY_NAME,RAW_STAT,MAPPED_STAT,RAW_LINE,LINE
Empyros,ea41a23c-8008-4267-957c-2f411d74f82a,Gamer,Gamer,kills_on_maps_1_2,,4.5,4.5
Jojopyun,ce65228e-aced-4e8e-8594-6858dc3868ea,Gamer,Gamer,kills_on_maps_1_2,,10.5,10.5
Elyoya,ce65228e-aced-4e8e-8594-6858dc3868ea,Gamer,Gamer,kills_on_maps_1_2,,6.5,6.5
Razork,ea41a23c-8008-4267-957c-2f411d74f82a,Gamer,Gamer,kills_on_maps_1_2,,5.5,5.5
Supa,ce65228e-aced-4e8e-8594-6858dc3868ea,Gamer,Gamer,assists_on_maps_1_2,,10.5,10.5
Alvaro,ce65228e-aced-4e8e-8594-6858dc3868ea,Gamer,Gamer,assists_on_maps_1_2,,22.5,22.5
Razork,ea41a23c-8008-4267-957c-2f411d74f82a,Gamer,Gamer,assists_on_maps_1_2,,16.5,16.5
Vladi,ea41a23c-8008-4267-957c-2f411d74f82a,Gamer,Gamer,assists_on_maps_1_2,,12.5,12.5
Upset,ea41a23c-8008-4267-957c-2f411d74f82a,Gamer,Gamer,assists_on_maps_1_2,,10.5,10.5
Jojopyun,ce65228e-aced-4e8e-8594-6858dc3868ea,Gamer,Gamer,assists_on_maps_1_2,,13.5,13.5
Empyros,ea41a23c-8008-4267-957c-2f411d74f82a,Gamer,Gamer,assists_on_maps_1_2,,9.5,9.5
Myrwn,ce65228e-aced-4e8e-8594-6858dc3868ea,Gamer,Gamer,assists_on_maps_1_2,,11.5,11.5
Elyoya,ce65228e-aced-4e8e-8594-6858dc3868ea,Gamer,Gamer,assists_on_maps_1_2,,17.5,17.5
Supa,ce65228e-aced-4e8e-8594-6858dc3868ea,Gamer,Gamer,period_1_2_fantasy_points,,65.93,65.93
Myrwn,ce65228e-aced-4e8e-8594-6858dc3868ea,Gamer,Gamer,period_1_2_fantasy_points,,45.91,45.91
Vladi,ea41a23c-8008-4267-957c-2f411d74f82a,Gamer,Gamer,period_1_2_fantasy_points,,51.24,51.24
Empyros,ea41a23c-8008-4267-957c-2f411d74f82a,Gamer,Gamer,period_1_2_fantasy_points,,41.15,41.15
Alvaro,ce65228e-aced-4e8e-8594-6858dc3868ea,Gamer,Gamer,period_1_2_fantasy_points,,48.58,48.58
Razork,ea41a23c-8008-4267-957c-2f411d74f82a,Gamer,Gamer,period_1_2_fantasy_points,,52.01,52.01
Jojopyun,ce65228e-aced-4e8e-8594-6858dc3868ea,Gamer,Gamer,period_1_2_fantasy_points,,58.11,58.11
Upset,ea41a23c-8008-4267-957c-2f411d74f82a,Gamer,Gamer,period_1_2_fantasy_points,,61.86,61.86
Elyoya,ce65228e-aced-4e8e-8594-6858dc3868ea,Gamer,Gamer,period_1_2_fantasy_points,,62.27,62.27
Feisty,3bda1771-b0e7-4321-990d-631e5e816094,Gamer,Gamer,kills_on_maps_1_2,,6.5,6.5
Feisty,3bda1771-b0e7-4321-990d-631e5e816094,Gamer,Gamer,kills_on_maps_1_2,,11.5,11.5
Feisty,3bda1771-b0e7-4321-990d-631e5e816094,Gamer,Gamer,assists_on_maps_1_2,,12.5,12.5
Feisty,3bda1771-b0e7-4321-990d-631e5e816094,Gamer,Gamer,period_1_2_fantasy_points,,52.92,52.92
STEPZ,b7550a48-1861-478f-8450-cf2be5e8fedf,Gamer,Gamer,kills_on_maps_1_2,,11.5,11.5
Zest,3bda1771-b0e7-4321-990d-631e5e816094,Gamer,Gamer,kills_on_maps_1_2,,9.5,9.5
Morttheus,b7550a48-1861-478f-8450-cf2be5e8fedf,Gamer,Gamer,kills_on_maps_1_2,,6.5,6.5
Curse,3bda1771-b0e7-4321-990d-631e5e816094,Gamer,Gamer,kills_on_maps_1_2,,4.5,4.5
Duduhh,3bda1771-b0e7-4321-990d-631e5e816094,Gamer,Gamer,kills_on_maps_1_2,,16.5,16.5
frosty,b7550a48-1861-478f-8450-cf2be5e8fedf,Gamer,Gamer,kills_on_maps_1_2,,1.5,1.5
Fuuu,b7550a48-1861-478f-8450-cf2be5e8fedf,Gamer,Gamer,kills_on_maps_1_2,,8.5,8.5
Fuuu,b7550a48-1861-478f-8450-cf2be5e8fedf,Gamer,Gamer,kills_on_maps_1_2,,11.5,11.5
zynts,b7550a48-1861-478f-8450-cf2be5e8fedf,Gamer,Gamer,kills_on_maps_1_2,,4.5,4.5
zynts,b7550a48-1861-478f-8450-cf2be5e8fedf,Gamer,Gamer,kills_on_maps_1_2,,9.5,9.5
Duduhh,3bda1771-b0e7-4321-990d-631e5e816094,Gamer,Gamer,kills_on_maps_1_2,,12.5,12.5
STEPZ,b7550a48-1861-478f-8450-cf2be5e8fedf,Gamer,Gamer,kills_on_maps_1_2,,6.5,6.5
Zest,3bda1771-b0e7-4321-990d-631e5e816094,Gamer,Gamer,kills_on_maps_1_2,,12.5,12.5
STEPZ,b7550a48-1861-478f-8450-cf2be5e8fedf,Gamer,Gamer,kills_on_maps_1_2,,9.5,9.5
Ackerman,3bda1771-b0e7-4321-990d-631e5e816094,Gamer,Gamer,kills_on_maps_1_2,,1.5,1.5
Curse,3bda1771-b0e7-4321-990d-631e5e816094,Gamer,Gamer,kills_on_maps_1_2,,7.5,7.5
Fuuu,b7550a48-1861-478f-8450-cf2be5e8fedf,Gamer,Gamer,kills_on_maps_1_2,,5.5,5.5
Duduhh,3bda1771-b0e7-4321-990d-631e5e816094,Gamer,Gamer,kills_on_maps_1_2,,8.5,8.5
Zest,3bda1771-b0e7-4321-990d-631e5e816094,Gamer,Gamer,kills_on_maps_1_2,,6.5,6.5
Curse,3bda1771-b0e7-4321-990d-631e5e816094,Gamer,Gamer,kills_on_maps_1_2,,9.5,9.5
Morttheus,b7550a48-1861-478f-8450-cf2be5e8fedf,Gamer,Gamer,kills_on_maps_1_2,,9.5,9.5
Morttheus,b7550a48-1861-478f-8450-cf2be5e8fedf,Gamer,Gamer,kills_on_maps_1_2,,12.5,12.5
STEPZ,b7550a48-1861-478f-8450-cf2be5e8fedf,Gamer,Gamer,assists_on_maps_1_2,,12.5,12.5
Zest,3bda1771-b0e7-4321-990d-631e5e816094,Gamer,Gamer,assists_on_maps_1_2,,11.5,11.5
frosty,b7550a48-1861-478f-8450-cf2be5e8fedf,Gamer,Gamer,assists_on_maps_1_2,,17.5,17.5
Morttheus,b7550a48-1861-478f-8450-cf2be5e8fedf,Gamer,Gamer,assists_on_maps_1_2,,10.5,10.5
zynts,b7550a48-1861-478f-8450-cf2be5e8fedf,Gamer,Gamer,assists_on_maps_1_2,,8.5,8.5
Curse,3bda1771-b0e7-4321-990d-631e5e816094,Gamer,Gamer,assists_on_maps_1_2,,16.5,16.5
Ackerman,3bda1771-b0e7-4321-990d-631e5e816094,Gamer,Gamer,assists_on_maps_1_2,,21.5,21.5
Fuuu,b7550a48-1861-478f-8450-cf2be5e8fedf,Gamer,Gamer,assists_on_maps_1_2,,10.5,10.5
Duduhh,3bda1771-b0e7-4321-990d-631e5e816094,Gamer,Gamer,assists_on_maps_1_2,,10.5,10.5
zynts,b7550a48-1861-478f-8450-cf2be5e8fedf,Gamer,Gamer,period_1_2_fantasy_points,,37.53,37.53
Duduhh,3bda1771-b0e7-4321-990d-631e5e816094,Gamer,Gamer,period_1_2_fantasy_points,,57.37,57.37
